username,text,likes,timestamp,is_reply
"pazcharpentier","Amigos, ¿cómo están? Hoy les traigo un unboxing muy especial. Como ya saben, este miércoles 11 juraré como diputada, así que quería mostrarles las invitaciones. ¿Qué les parecen? 👀 ¿Van a ver el cambio de mando? Sin duda será un día muy especial. ¡Espero que tengan una linda semana! ✨ See translation",0,,no
"beatriz.parra.huerta","Sin duda la justa recompensa a un trabajo serio y responsable. Cuento con que ud será una diputada extraordinaria, cuente ud con mi oración para que Dios siempre la proteja y guíe por el buen camino 👏🙏",14,,no
"felipesalvo.talcahuano","Que buena mi querida Paz todo exito en este nuevo camino que emprenderas, siempre cuenta con mi apoyo para ser grande a nuestro pais abrazo gigante",4,,no
"ricardofullerb","Excelente Paz Mucho éxito en tu Cargo de Diputada bandera 🇨🇱 🙌",16,,no
"flga_sol","Me siento muy feliz y orgullosa que nos representes querida @pazcharpentier serás una tremenda Diputada!!! Un abrazote y que todo salga bien!!!! Cariños!!! 🧡🧡",6,,no
"andre_souper","Qué alegría Paz !!! Muchisimo éxito en este desafío 🙌",11,,no
"ceciliaubillaperez","Igual de emocionada",2,,no
"patricio_1520","Me encanta que compartas esos documentos con quiénes te apoyamos y entendemos tu felicidad 👏👏🇨🇱🇨🇱",9,,no
"jarasmkweed","Supongo que pagaras la $ usada que te dieron para estudiar con BECA 🇨🇱🔥",51,,no
"crazynurse2019","Éxito Paz 👏👏👏👏",2,,no
"herediaf","Pacita querida. Que te vaya bien en todo. Tus amigos y los que conocemos tu esfuerzo y pasión por el prójimo estamos felices",0,,no
"paulina_dniss","🥰🇨🇱",3,,no
"gatadolce","CAFICHE DEL ESTADO",192,,no
"patricio_1520","Felicidades honorable diputada Paz",4,,no
"nonojonito","Una lavadora de pelo no hace mal 🤭🤡",14,,no
"_volmax","Esta es la cafiche que vive y estudia a costa de todos los chilenos y ahora quiere quitar beneficios para todos ellos?",7,,no
